Name,Version,License,Make check result,Compiler,Remarks,Last update
lammps,20201029,,N/A,fj\@4.7.0,+user-omp / 64-bit integer \*1,2021/12/16
lis,2.0.27,,N/A,fj\@4.7.0,,2021/12/16
llvm,12.0.1,,N/A,fj\@4.7.0,,2021/12/16
mapsplice2,2.2.1,,N/A,fj\@4.7.0,,2021/12/16
mesa,21.2.3,,N/A,fj\@4.7.0,,2021/12/16
metis,4.0.3 / 5.1.0,,N/A,fj\@4.7.0,,2022/8/15
mpich-tofu,master,,N/A,fj\@4.7.0 / gcc\@8.4.1,~mt (single thread) / +mt (multi thread),2021/12/16
mptensor,0.3.0,,N/A,fj\@4.7.0,,2021/12/16
n2p2,2.1.4,,N/A,fj\@4.7.0,OpenMP supported,2021/12/16
namd,\-,,N/A,\-,\*3,2022/4/20
netcdf-c,4.8.1,,N/A,fj\@4.7.0,,2021/12/16
netcdf-cxx,4.2,,N/A,fj\@4.7.0,,2021/12/16
netcdf-cxx4,4.3.1,,N/A,fj\@4.7.0,,2021/12/16
netcdf-fortran,4.5.3,,N/A,fj\@4.7.0,,2021/12/16
netlib-lapack,3.9.1,,N/A,fj\@4.7.0,,2022/1/31
netlib-scalapack,2.1.0,,N/A,fj\@4.7.0,,2021/12/16
nwchem,master (7.0.2),,N/A,fj\@4.8.0,,2022/8/15
octa,8.4,,N/A,fj\@4.8.0,,2022/4/20
onednn,2.5.2,,N/A,fj\@4.8.0,,2022/4/20
openblas,0.3.18,,N/A,fj\@4.7.0,,2021/12/16
openfdtd,2.6.0,,N/A,fj\@4.8.0,Optimized for A64FX,2022/4/20
openfoam,2012 / 2106,,N/A,fj\@4.8.0,\*1 \*2,2022/8/15
openfoam-org,8,,N/A,fj\@4.8.0,\*1 \*2,2022/8/15
openjdk,11.0.12_7,,N/A,fj\@4.7.0,,2021/12/16
openmx,3.8,,N/A,fj\@4.7.0,,2022/1/31
parallel-netcdf,1.12.2,,N/A,fj\@4.7.0,,2021/12/16
paraview,5.9.1,,N/A,fj\@4.7.0,,2021/12/16
parmetis,4.0.3,,N/A,fj\@4.7.0,,2021/12/16
petsc,3.16.1,,N/A,fj\@4.7.0,,2021/12/27
pfapack,2014-09-17,,N/A,fj\@4.7.0,,2021/12/16
picard,2.26.2,,N/A,fj\@4.7.0,,2021/12/16
povray,3.7.0.8,,N/A,fj\@4.7.0,,2021/12/16
process-in-process,\-,,,,,
py-ase,3.21.1,,N/A,fj\@4.7.0,,2021/12/16
py-dask,2.16.0,,N/A,fj\@4.7.0,,2021/12/16
py-h5py,3.4.0,,N/A,fj\@4.7.0,,2021/12/16
py-horovod,0.23.0,,N/A,fj\@4.8.0,,2022/4/20
py-jupyterhub,0.9.4,,N/A,fj\@4.7.0,,2022/1/31
py-keras,2.4.3,,N/A,fj\@4.7.0,,2021/12/16
py-matplotlib,3.4.3,,N/A,fj\@4.7.0,,2022/1/31
py-mpi4py,3.1.2,,N/A,fj\@4.7.0,,2021/12/16
py-netcdf4,1.5.3,,N/A,fj\@4.7.0,,2021/12/16
py-numpy,1.21.3,,N/A,fj\@4.7.0,,2021/12/16
py-pydmd,0.3,,N/A,fj\@4.7.0,,2021/12/16
py-pygps,1.3.5,,N/A,fj\@4.7.0,,2021/12/16
py-pymol,2.5.0,,N/A,fj\@4.8.0,,2022/4/20
py-pysam,0.15.3,,N/A,fj\@4.7.0,,2021/12/16
py-scikit-learn,1.0.1,,N/A,fj\@4.7.0,,2021/12/16
py-scipy,1.6.1,,N/A,fj\@4.7.0,,2021/12/16
py-seaborn,0.11.2,,N/A,fj\@4.7.0,,2021/12/16
py-xarray,0.18.2,,N/A,fj\@4.7.0,,2021/12/16
quantum-espresso,6.5 / 6.6 / 6.7 / 6.8,,N/A,fj\@4.7.0,\*1,2021/12/16
r,4.1.1,,N/A,fj\@4.7.0,,2021/12/16
raja,0.14.0,,N/A,fj\@4.7.0,,2021/12/16
rdkit,2021_03_2,,N/A,fj\@4.7.0,,2021/12/16
samtools,1.12,,N/A,fj\@4.7.0,,2021/12/16
scale,5.4.3,,N/A,fj\@4.7.0,,2021/12/16
screen,4.8.0,,N/A,fj\@4.7.0,,2021/12/16
scsumma25d,1.0a,,N/A,fj\@4.8.0,,2022/4/20
siesta,4.0.1,,N/A,fj\@4.8.0,,2022/4/20
star,2.7.6a,,N/A,fj\@4.7.0,,2021/12/16
suite-sparse,5.10.1,,N/A,fj\@4.7.0,,2021/12/16
tmux,3.2a,,N/A,fj\@4.7.0,,2021/12/16
wrf,3.9.1.1,,N/A,fj\@4.8.0,,2022/4/20
xios,\-,,,,,
zpares,0.9.6a,,N/A,fj\@4.8.0,,2022/4/20
